fs,gdot,folder,dump_file,n_frames_total,n_frames_used,timestep_start_used,timestep_end_used,n_alrich_al_mean,n_alrich_al_std,f_eta_ge2_percent_mean,f_eta_ge2_percent_std,f_eta_ge3_percent_mean,f_eta_ge3_percent_std,n_ge5_mean,n_ge5_std,n_ge7_mean,n_ge7_std,max_size_mean,max_size_std
20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj,101,21,400000,500000,2696.4285714285716,60.7927392281113,8.42016847221792,0.09423250659698143,0.6190953212051827,0.02459402087746814,11.380952380952381,3.470968027455604,0.6666666666666666,0.7958224257542216,6.523809523809524,0.7496030695673289
20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj,101,21,400000,500000,2691.4285714285716,46.886641411569904,8.3888915936504,0.06439695506672537,0.5815237249385404,0.01383682762836746,11.80952380952381,3.2344867849327747,1.0,1.0488088481701516,7.0,0.9486832980505138
20,0.005,AZ91_fs20_T865.0_shearYZ_gdot0.005,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.005.lammpstrj,101,21,80000,100000,2808.5238095238096,53.60654721917748,8.634410172657223,0.04835258038950018,0.6342419856686982,0.01612521874247934,13.142857142857142,2.7255405754769875,1.380952380952381,0.7400128699009549,7.380952380952381,0.8646496675642962
20,0.01,AZ91_fs20_T865.0_shearYZ_gdot0.01,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.01.lammpstrj,101,21,40000,50000,2829.809523809524,52.09473970337028,8.609846020386035,0.038644215629205746,0.6336272671433931,0.015336871182881507,15.523809523809524,2.5616215102752324,1.6666666666666667,1.1547005383792515,7.714285714285714,1.230563169563316
20,0.02,AZ91_fs20_T865.0_shearYZ_gdot0.02,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.02.lammpstrj,101,21,20000,25000,2900.3333333333335,46.592202494981215,8.720028168861703,0.06283796106145717,0.6682973919705959,0.01815802192168657,19.857142857142858,3.3058389901160385,3.0952380952380953,1.5781242633190171,8.285714285714286,1.0555973258234952
40,0.0,AZ91_fs40_T852.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs40.T852.0.gdot0.0.lammpstrj,101,21,400000,500000,2671.5238095238096,38.712554872572085,8.105481764743777,0.06631963895458627,0.7291299372347797,0.023631448301409362,21.142857142857142,2.937443008565686,3.2857142857142856,1.2705454396776663,8.142857142857142,0.792824967172092
40,0.001,AZ91_fs40_T852.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs40.T852.0.gdot0.001.lammpstrj,101,21,400000,500000,2632.9523809523807,52.45519630167843,8.045804890307169,0.07007499352868955,0.6700677813234742,0.0156385146735856,16.857142857142858,3.1029939459450167,3.142857142857143,1.1952286093343938,8.095238095238095,1.220850601210562
40,0.005,AZ91_fs40_T852.0_shearYZ_gdot0.005,dump.production.Alrich.AZ91.fs40.T852.0.gdot0.005.lammpstrj,101,21,80000,100000,2941.1428571428573,51.59581932122573,8.569348363938941,0.059283073152845006,0.7692341738256787,0.026504666896639426,29.142857142857142,3.902380226037876,5.809523809523809,1.2090925365350502,8.952380952380953,1.1608699529314415
40,0.01,AZ91_fs40_T852.0_shearYZ_gdot0.01,dump.production.Alrich.AZ91.fs40.T852.0.gdot0.01.lammpstrj,101,21,40000,50000,2996.714285714286,48.37266051928802,8.694209990798894,0.04144134501279427,0.7848726131094382,0.020204930719300213,31.047619047619047,3.0573876181503463,7.0,1.7320508075688772,8.904761904761905,0.8890872794479686
40,0.02,AZ91_fs40_T852.0_shearYZ_gdot0.02,dump.production.Alrich.AZ91.fs40.T852.0.gdot0.02.lammpstrj,101,21,20000,25000,3034.5238095238096,23.320846999238785,8.818702786543664,0.05894751301456623,0.818239534662994,0.017478335404845047,34.23809523809524,3.419133836291903,6.428571428571429,1.2873006086935785,9.047619047619047,1.244033378820298
60,0.0,AZ91_fs60_T833.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs60.T833.0.gdot0.0.lammpstrj,101,21,400000,500000,2609.8571428571427,43.04449525117667,7.878527685201169,0.06327237312152562,0.7450634414106856,0.016049610152542342,19.714285714285715,2.917924898671265,3.9047619047619047,1.2611408289624875,8.0,0.7745966692414834
60,0.001,AZ91_fs60_T833.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs60.T833.0.gdot0.001.lammpstrj,101,21,400000,500000,2615.3333333333335,42.58442594814838,7.901050971968343,0.049487011463129595,0.7278759114431574,0.011503991677462163,20.047619047619047,2.9236311408279683,2.142857142857143,1.2761549390929883,7.571428571428571,0.8701395618766323
60,0.005,AZ91_fs60_T833.0_shearYZ_gdot0.005,dump.production.Alrich.AZ91.fs60.T833.0.gdot0.005.lammpstrj,101,21,80000,100000,2937.1428571428573,43.75418347345281,8.408931417575344,0.04763321744580294,0.8268947714992886,0.018464944491320686,35.38095238095238,3.3834330269149775,7.190476190476191,2.4417012024211235,11.047619047619047,1.8296499795368095
60,0.01,AZ91_fs60_T833.0_shearYZ_gdot0.01,dump.production.Alrich.AZ91.fs60.T833.0.gdot0.01.lammpstrj,101,21,40000,50000,3006.285714285714,44.028562158152354,8.603698835132983,0.052571517809058756,0.8427053319701336,0.014143083886139374,39.57142857142857,3.3101575275419832,8.0,1.4832396974191326,10.476190476190476,1.5690458125576712
60,0.02,AZ91_fs60_T833.0_shearYZ_gdot0.02,dump.production.Alrich.AZ91.fs60.T833.0.gdot0.02.lammpstrj,101,21,20000,25000,3084.904761904762,41.269728327073786,8.739723750412477,0.05444382709955518,0.8506474953170744,0.016156054689034516,35.904761904761905,3.9230697407102255,5.333333333333333,1.7126976771553508,9.095238095238095,1.0442586798663398
80,0.0,AZ91_fs80_T813.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs80.T813.0.gdot0.0.lammpstrj,101,21,400000,500000,2642.3333333333335,41.55277768493141,7.728462598803709,0.049735462944250464,0.8091908779705042,0.009883884813720338,23.428571428571427,3.7225183487986806,4.333333333333333,1.4259499757471628,9.476190476190476,1.0304876330673562
80,0.001,AZ91_fs80_T813.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs80.T813.0.gdot0.001.lammpstrj,101,21,400000,500000,2716.285714285714,40.912275489323314,8.061222030921819,0.06948469799833139,0.760062573428128,0.015912441837205697,26.333333333333332,3.6787679096857056,4.857142857142857,1.6818357317441641,8.761904761904763,0.9952267030562386
80,0.005,AZ91_fs80_T813.0_shearYZ_gdot0.005,dump.production.Alrich.AZ91.fs80.T813.0.gdot0.005.lammpstrj,101,21,80000,100000,3009.5714285714284,31.10718796125974,8.422627346319137,0.04570957209011781,0.8925221212608515,0.014805881263835117,42.23809523809524,3.4337262835695257,8.19047619047619,1.833549770773829,11.476190476190476,2.542027687084616
80,0.01,AZ91_fs80_T813.0_shearYZ_gdot0.01,dump.production.Alrich.AZ91.fs80.T813.0.gdot0.01.lammpstrj,101,21,40000,50000,3112.714285714286,41.40790124739825,8.650761685430334,0.05575887421498372,0.9082835042496721,0.014710471960896336,45.61904761904762,5.490684752161523,7.714285714285714,1.4192553379451192,11.857142857142858,1.82443729093971
80,0.02,AZ91_fs80_T813.0_shearYZ_gdot0.02,dump.production.Alrich.AZ91.fs80.T813.0.gdot0.02.lammpstrj,101,21,20000,25000,3101.6190476190477,46.9728391631549,8.672547309967143,0.0522728713502647,0.9016199554353658,0.017597246497349554,41.857142857142854,3.511206548833525,7.9523809523809526,1.8296499795368097,9.761904761904763,1.1359912809859902
